Review	predicted_label
Just wow!	1
Fabulous!	1
Great product	1
Very Good	0
Highly recommended	0
Brilliant	0
Good quality product	0
Just wow!	1
Wonderful	1
Great product	1
Must buy!	0
Terrific purchase	1
Best in the market!	0
Must buy!	0
Best in the market!	0
Awesome	1
Must buy!	0
Excellent	1
Mind-blowing purchase	0
Super!	0
Classy product	1
Waste of money!	0
Classy product	1
Best in the market!	0
Terrific	1
Simply awesome	0
Perfect product!	1
Super!	0
Excellent	1
Brilliant	0
Really Nice	0
Delightful	1
Good choice	0
Excellent	1
Fabulous!	1
Best in the market!	0
Classy product	1
Mind-blowing purchase	0
Wonderful	1
Must buy!	0
Simply awesome	0
Don't waste your money	0
Terrific purchase	1
Brilliant	0
Excellent	1
Super!	0
Simply awesome	0
Wonderful	1
Fabulous!	1
Classy product	1
Great product	1
Wonderful	1
Classy product	1
Super!	0
Just wow!	1
Classy product	1
Brilliant	0
Best in the market!	0
Excellent	1
Excellent	1
Best in the market!	0
Really Nice	0
Simply awesome	0
Perfect product!	1
Super!	0
Worth every penny	1
Brilliant	0
Terrific purchase	1
Perfect product!	1
Best in the market!	0
Perfect product!	1
Must buy!	0
Terrific purchase	1
Awesome	1
Simply awesome	0
Great product	1
Just wow!	1
Worth every penny	1
Great product	1
Great product	1
Mind-blowing purchase	0
Must buy!	0
Mind-blowing purchase	0
Simply awesome	0
Mind-blowing purchase	0
Classy product	1
Excellent	1
Great product	1
Worth every penny	1
Terrific purchase	1
Perfect product!	1
Delightful	1
Fair	0
Perfect product!	1
Classy product	1
Excellent	1
Classy product	1
Classy product	1
Great product	1
Simply awesome	0
Classy product	1
Nice product	0
Good quality product	0
Classy product	1
Just wow!	1
Perfect product!	1
Fair	0
Terrific purchase	1
Mind-blowing purchase	0
Mind-blowing purchase	0
Decent product	0
Must buy!	0
Worth every penny	1
Terrific purchase	1
Fabulous!	1
Horrible	0
Fabulous!	1
Pretty good	0
Fabulous!	1
Super!	0
Classy product	1
Just wow!	1
Awesome	1
Brilliant	0
Awesome	1
Fabulous!	1
Best in the market!	0
Mind-blowing purchase	0
Terrific purchase	1
Does the job	0
Value-for-money	0
Terrific	1
Must buy!	0
Simply awesome	0
Worth every penny	1
Did not meet expectations	0
Moderate	0
Excellent	1
Brilliant	0
Highly recommended	0
Wonderful	1
Awesome	1
Classy product	1
Terrific	1
Mind-blowing purchase	0
Awesome	1
Terrific purchase	1
Excellent	1
Must buy!	0
Wonderful	1
Must buy!	0
Don't waste your money	0
Terrific	1
Fabulous!	1
Excellent	1
Terrible product	0
Fabulous!	1
Great product	1
Highly recommended	0
Waste of money!	0
Not recommended at all	0
Worth every penny	1
Wonderful	1
Worst experience ever!	0
Just okay	0
Awesome	1
Terrific	1
Did not meet expectations	0
Highly recommended	0
Great product	1
Value-for-money	0
Classy product	1
Mind-blowing purchase	0
Just wow!	1
Classy product	1
Wonderful	1
Classy product	1
Just wow!	1
Good quality product	0
Perfect product!	1
Worth every penny	1
Perfect product!	1
Terrific purchase	1
Awesome	1
Wonderful	1
Really Nice	0
Terrific	1
Simply awesome	0
Best in the market!	0
Brilliant	0
Nice	0
Terrific purchase	1
Perfect product!	1
Mind-blowing purchase	0
Excellent	1
Simply awesome	0
Did not meet expectations	0
Super!	0
Good choice	0
Mind-blowing purchase	0
Slightly disappointed	0
Excellent	1
Simply awesome	0
Best in the market!	0
Great product	1
Fabulous!	1
Just okay	0
Classy product	1
Nice product	0
Just wow!	1
Excellent	1
Awesome	1
Great product	1
Great product	1
Just wow!	1
Fabulous!	1
Utterly Disappointed	0
Pretty good	0
Awesome	1
Worst experience ever!	0
Worth every penny	1
Wonderful	1
Perfect product!	1
Super!	0
Simply awesome	0
Best in the market!	0
Fabulous!	1
Value-for-money	0
Brilliant	0
Mind-blowing purchase	0
Perfect product!	1
Delightful	1
Classy product	1
Excellent	1
Best in the market!	0
Useless product	0
Useless product	0
Nice product	0
Good	0
Great product	1
Hated it!	0
Good choice	0
Perfect product!	1
Worth every penny	1
Fabulous!	1
Excellent	1
Pretty good	0
Does the job	0
Terrific	1
Worth the money	0
Useless product	0
Utterly Disappointed	0
Excellent	1
Not good	0
Value-for-money	0
Super!	0
Must buy!	0
Did not meet expectations	0
Nice	0
Must buy!	0
Just wow!	1
Value-for-money	0
Perfect product!	1
Delightful	1
Super!	0
Excellent	1
Fabulous!	1
Great product	1
Terrific purchase	1
Highly recommended	0
Really Nice	0
Worth every penny	1
Just wow!	1
Just wow!	1
Highly recommended	0
Super!	0
Worth every penny	1
Brilliant	0
Perfect product!	1
Awesome	1
Awesome	1
Best in the market!	0
Super!	0
Must buy!	0
Perfect product!	1
Terrific	1
Don't waste your money	0
Hated it!	0
Very Good	0
Horrible	0
Wonderful	1
Great product	1
Fabulous!	1
Must buy!	0
Mind-blowing purchase	0
Useless product	0
Simply awesome	0
Very poor	0
Terrific	1
Wonderful	1
Best in the market!	0
Worth every penny	1
Absolute rubbish!	0
Hated it!	0
Best in the market!	0
Terrific	1
Terrific	1
Terrific purchase	1
Perfect product!	1
Simply awesome	0
Best in the market!	0
Terrific purchase	1
Terrific purchase	1
Simply awesome	0
Just wow!	1
Mind-blowing purchase	0
Great product	1
Fair	0
Mind-blowing purchase	0
Terrific Masterpiece	1
Terrific	1
Just wow!	1
Horrible	0
Good	0
Fabulous!	1
Fabulous!	1
Does the job	0
Wonderful	1
Highly recommended	0
Wonderful	1
Super!	0
Perfect product!	1
Waste of money!	0
Terrific purchase	1
Expected a better product	0
Brilliant	0
Slightly disappointed	0
Classy product	1
Simply awesome	0
Just wow!	1
Very Good	0
Terrible product	0
Decent product	0
Delightful	1
Fair	0
Mind-blowing purchase	0
Brilliant	0
Best in the market!	0
Mind-blowing purchase	0
Brilliant	0
Super!	0
Mind-blowing purchase	0
Best in the market!	0
Must buy!	0
Terrific purchase	1
Awesome	1
Awesome	1
Must buy!	0
Delightful	1
Brilliant	0
Value-for-money	0
Wonderful	1
Slightly disappointed	0
Don't waste your money	0
Worth the money	0
Simply awesome	0
Perfect product!	1
Must buy!	0
Simply awesome	0
Absolute rubbish!	0
Excellent	1
Excellent	1
Just wow!	1
Terrific	1
Super!	0
Slightly disappointed	0
Excellent	1
Good	0
Mind-blowing purchase	0
Just wow!	1
Wonderful	1
Brilliant	0
Worth every penny	1
Very Good	0
Nice	0
Wonderful	1
Simply awesome	0
Good quality product	0
Really Nice	0
Decent product	0
Best in the market!	0
Great product	1
Terrific purchase	1
Not recommended at all	0
Terrific	1
Not recommended at all	0
Mind-blowing purchase	0
Highly recommended	0
Perfect product!	1
Terrific	1
Fabulous!	1
Awesome	1
Wonderful	1
Decent product	0
Wonderful	1
Fabulous!	1
Mind-blowing purchase	0
Wonderful	1
Terrific	1
Terrific purchase	1
Great product	1
Good	0
Best in the market!	0
Utterly Disappointed	0
Great product	1
Brilliant	0
Great product	1
Nice product	0
Absolute rubbish!	0
Terrific purchase	1
Great product	1
Simply awesome	0
Fabulous!	1
Fabulous!	1
Perfect product!	1
Highly recommended	0
Value-for-money	0
Excellent	1
Wonderful	1
Excellent	1
Classy product	1
Simply awesome	0
Very Good	0
Highly recommended	0
Worth every penny	1
Fair	0
Delightful	1
Excellent for the price and premium apple device	1
Terrific	1
Must buy!	0
Pretty good	0
Perfect product!	1
Must buy!	0
Must buy!	0
Mind-blowing purchase	0
Highly recommended	0
Terrific	1
Terrific	1
Highly recommended	0
Highly recommended	0
Fabulous!	1
Simply awesome	0
Brilliant	0
Wonderful	1
Awesome	1
Wonderful	1
Terrific purchase	1
Just wow!	1
Super!	0
Brilliant	0
Wonderful	1
Fabulous!	1
Good	0
Just wow!	1
Brilliant	0
Wonderful	1
Excellent	1
Waste of money!	0
Really Nice	0
Nice	0
Great product	1
Best in the market!	0
Perfect product!	1
Value-for-money	0
Excellent	1
Highly recommended	0
Great product	1
Highly recommended	0
Fabulous!	1
Terrific purchase	1
Terrific purchase	1
Great product	1
Classy product	1
Nice	0
Super!	0
Great product	1
Worth every penny	1
Super!	0
Must buy!	0
Great product	1
Worth every penny	1
Great product	1
Super!	0
Delightful	1
Simply awesome	0
Delightful	1
Great product	1
Must buy!	0
Excellent	1
Value-for-money	0
